Isabel Marant collegenser str36,,Isabel Marant,
Ubrukt Triumph undertøysett. Str 75D og 40 (liten i str),,Triumph,
"2 stk Ralph Lauren pique str 9 mnd, små i størrelsen. ",,Ralph Lauren,
"Ny. kjøpt i vinterferien. brukt 5 spray av. 50ml .       275,-       Åsane",Åsane,,
Lite pengepung i skinn fra Mango (10x10 cm). Ubrukt!,,Mango,
"Genser fra hennes & mauritz i str. 38. Ord. pris 499,-",,hennes & mauritz,
Vinrød kjole fra Bik bok i str small,,Bik bok,
"Equiline ridejakke, str 42 (små i str), 4 år, lite brukt",,Equiline,
Lite brukt bilstol selges hbo 500kr       Ikke isofix       Nord odal,Nord odal,,
"Marc sko, lær, str.38, pent brukt. ",,Marc,
Lekker paljettkjole fra VOE str M. Aldri brukt. ,,VOE,
Catarina sko str 39 lite brukt selges ,,Catarina,
"A Stunning Vintage 50's Style Dress by Hearts and Roses London (H&R London).       Ideal for Vintage Retro Rockabilly Pinup 50s lovers. S str, ny selges hbo 349 kr. — in Tangen.",Tangen,Hearts and Roses London,
Rosa sommergenser fra Samsøe. Str L. Ubrukt. ,,Samsøe,
Nike Pro langermet treningstopp med tynt fleecefor str S. ,,Nike,
"Hansvik 16 fot til salgs,Båten ligger i Brønnøysund.",Brønnøysund,Hansvik,
Acne str xs. Lite brukt. Vasket 2 ggr. Populær modell. ,,Acne,
"DrDenim str S/M, Herre. Nypris 899 (2013).",,DrDenim,
"60,- pr bilde        Skogstad fleece dress (5år)       Skogstad fleece 2delt (6år)       Joha (tynt) ullsett 2 delt (110)        Leveres Gjøvik onsdag",Gjøvik,,
"2 stk Little Tikes gåbiler tilsalgs. 300,- pr stk eller 500,- samlet. Hentes på Ålgård",Ålgård,Little Tikes,
2 radionette  høytalere selges kr 150       Den ene har løstsittende front deksel  og mangler  høytaler kabel. Noen merker  er det. Hentes  I drøbak,drøbak,radionette,
"Hunter støvler, lite brukt. Størrelse 36.",,Hunter,
HM str 37. Brukt 1 gang. Populær modell. ,,HM,
Seng med sklie selges Haslum. 1500 kr. Må hentes.,Haslum,,
Ysl saint laurent muse nett! Sortskinn med gull str 50x40,,Ysl,
"Daniel Wellington Herreklokke selges 1100,- Klokken er helt ny, og selvfølgelig ubrukt.        Stjørdal.",Stjørdal,Daniel Wellington,
Selger merkeklær til dame i størrelse m/l til 500kr. Klærne er ubetydelig brukt. Selges samlet.       Må hentes evt. leveres på Gjøvik,Gjøvik,,
"50-tallskjole av merket ChicStar selges for 250,- eller hbo. Str 18/44-46. Brukt kun en gang. Ny pris: 800,-.",,ChicStar,
Bombay tvbenk selges til hbo 2000kr. Ny i desember 12 og ingen merker eller skader på den.,,Bombay,
"Omslagstunika, Va Vite, str M       Selges 80,-",,Va Vite,
Peak P dunvest selges. God komfort og kul.,,Peak P,
Hollister. strl XL(liten i strl) UBRUKT!,,Hollister,
Nydelig overdel fra Boheme str 5. Asymmetrisk i lin,,Boheme,
162 dvd filmer selges høystbydende over 400kr. Budrunden går til i morgen kl. 20.00. Grinder.,Grinder,,
Selger 4 stk alufelger med 225/40/18 sommerdekk:) 2 stk er greit mønster å 2 er godt slitt:) 5*108 et 52.5 kverneland:) pris 2500kr/bud,kverneland,,
"Reima Tec overgangsdress str 80 selges hbo  150,- Kjøpt og brukt kun i høst.        Nes        (lagt ut med mobil)",Nes,Reima,
"VAILENT jakke selges , størrelse S. 200kr",,VAILENT,
H&M blondeshorts. Str. S. Pent brukt. ,,H&M,
Sandro skinn sko. Str.38. Kun brukt 5-6 gng. ,,Sandro,
"Platespiller Philips retro automatisk, virker ikke. ",,Philips,
Lyseblå bluse fra H&M. Str. 34. ,,H&M,
6 stk Rosenthal tekopper med skåler. ,,Rosenthal,
"Ralph Lauren str 2, tilsvarer XS. Ubrukt",,Ralph Lauren,
Ubrukt kjole fra Vila str. L. Fin modell som passer alle,,Vila,
Flippa K dress str. 52. Pent brukt.,,Flippa K,
Lacoste Live ytterjakke. Lett brukt! Str 56(liten i str)52,,Lacoste,
"Kjole Day Birger et Mikkelsen strls M, brukt et par ganger",,Day Birger et Mikkelsen,
Bord sofa stol m pall.       Hbo 300       Er på mo/Nevernes,mo/Nevernes,,
"2 stk dessertskåler fra Figgjoflint, grønt stempel. Ingen synlige skader, bruksspor eller krakeleringer. Selges samlet.       hbo 100,-",,Figgjoflint,
"K2 alpinhjelm  brukt 1 sesong str. medium 56-59  cm. Selges  for 175,- Braskereidfoss /Elverum på dagtid",Braskereidfoss /Elverum,K2,
"Kjole fra Ganni. Ubrukt, størrelse 40. Nypris 1000",,Ganni,
"100%ull,nesten ikke brukt. Husfliden. Str m/l hbo 300,-",,Husfliden,
"Bil-lader til Sony Ericson! HHolder til på Kapp, Østre T)","Kapp, Østre T",Sony Ericson,
"Ipad bag til vanlig ipad selges, fra marc jacobs",,marc jacobs,
Skinnjakke fra jofama str 34. Uekte pels. Nypris 2899.-,,jofama,
"El Naturalista str 38, brukt én gang. Ord.pris var 1299,-",,El Naturalista,
Cardigan fra creami i str8/9 år,,creami,
Bunadsko bunad sko barn str 31 pene hentes Oslo S Ullevål ,Oslo S Ullevål ,,
Stor Gucci lommebok. Litt slitt knapp foran ellers som ny,,Gucci,
"Masse klær til gutt i 122-134, alt er veldig lite og pent brukt da han har vokst ut av dem nesten før de er tatt i bruk. Jeans, joggebukser, shortser, t-skjorter, gensere (både tykke og tynne), litt ullplagg, 2 onepiece, ekte conversesko, Nike fotballsko og skylander gigants støvler og en jakke.       Her er det nok klær for 4000-6000 kr.        Må hentes på Bislett.        500 kr",Bislett,,
Ninebot ståhjuling Segway brukt - 60%,,Ninebot,
Cubus skinnjakke str 36       Brukt en gang. ,,Cubus,
"Name it bukse og vest str. 134 selges samlet for 125,-",,Name it,
Kort cocktailkjole fra Forever 21. Str. S.,,Forever 21,
"Packard bell mini laptop. 11,6"" skjerm. Rensket og bra! ",,Packard bell,
Alpinestars MC jakke woman str XL ubrukt ,,Alpinestars,
6 Wedgewood asjetter m hus og hagemotiv uten skar ca 10 år,,Wedgewood,
"Liten ""kino popcorn maskin"" hbo 300kr må hentes på narverød ;-) budrunde slutter torsdag kl 12. Trenger en vask men funker som den skal!",narverød,,
3 seter i skinn selges 400 kr. Ikke slitt. Står på Storfosna,Storfosna,,
Svart kjole fra Gina Tricot. Str. 40. Lite brukt. ,,Gina Tricot,
Pent brukt kjole fra spanske Mayoral str 86 cm,,Mayoral,
Dunjakke fra Stormberg(55 prosent dun).       Vinrød med hvite/røde glidelås.       Str L.       Hbo 100kr😊.,,Stormberg,
Kjole Bik Bok str S,,Bik Bok,
Norøna skisko str 39 vintage retro flåklypa binding?,,Norøna,
Leilighet med fantastisk utsikt i Trondheim. Visning mandag http://www.finn.no/finn/realestate/homes/object?finnkode=55429458&searchclickthrough=true,Trondheim,,
3 vegghyller fra ikea selges samlet. 100 kr eller hb. I fargen valnøtt.,,ikea,
Coctailsett i kjempefin gaveeske ikke brukt hb over 150kr. Ganddal,Ganddal,,
